,signature,body,docstring,id
64279,@kotlin.internal.IntrinsicConstEvaluation public inline operator fun compareTo(other: Byte): Int,this.compareTo(other.toFloat()),"/**

     * Compares this value with the specified value for order.

     * Returns zero if this value is equal to the specified other value, a negative number if it's less than other,

     * or a positive number if it's greater than other.

     */",f17455:m3845
37349,@Test @TodoAnalysisApi fun `test - member function signature order`(),"{
    doTest(headersTestDataDir.resolve(""memberFunctionSignatureOrder""))
}","/**

     * KT-66066

     */",f11809:m619
32489,fun <T> Collection<T>?.concat(collection: Collection<T>): Collection<T>?,"{
    if (collection.isEmpty()) {
        return this
    }
    if (this == null) {
        return collection
    }
    if (this is LinkedHashSet) {
        addAll(collection)
        return this
    }
    val result = LinkedHashSet(this)
    result.addAll(collection)
    return result
}","/**

 * Concatenates the contents of this collection with the given collection, avoiding allocations if possible.

 * Can modify `this` if it is a mutable collection.

 */",f11015:m49
53050,"@Deprecated(""Synchronization on Any? object is not supported."", ReplaceWith(""lazy(initializer)"")) @DeprecatedSinceKotlin(warningSince = ""1.9"") public actual fun <T> lazy(lock: Any?, initializer: () -> T): Lazy<T>",UnsafeLazyImpl(initializer),"/**

 * Creates a new instance of the [Lazy] that uses the specified initialization function [initializer].

 *

 * The [lock] parameter is ignored.

 */",f16610:m51
8356,"private fun initCache(cache: BoxCache, generationState: NativeGenerationState, cacheName: String, rangeStartName: String, rangeEndName: String, declareOnly: Boolean): StaticData.Global","{
    val context = generationState.context
    val kotlinType = context.irBuiltIns.getKotlinClass(cache)
    val staticData = generationState.llvm.staticData
    val llvm = generationState.llvm
    val llvmType = kotlinType.defaultType.toLLVMType(llvm)
    val llvmBoxType = llvm.structType(llvm.runtime.objHeaderType, llvmType)
    val (start, end) = cache.defaultRange
    return if (declareOnly) {
        staticData.createGlobal(LLVMArrayType(llvmBoxType, end - start + 1)!!, cacheName, true)
    } else {
        staticData.placeGlobal(rangeStartName, createConstant(llvmType, start), true).setConstant(true)
        staticData.placeGlobal(rangeEndName, createConstant(llvmType, end), true).setConstant(true)
        val values = (start .. end).map { staticData.createConstKotlinObjectBody(kotlinType, createConstant(llvmType, it)) }
        staticData.placeGlobalArray(cacheName, llvmBoxType, values, true).also { it.setConstant(true) }
    }
}","/**

 * Adds global that refers to the cache.

 */",f3237:m259
63590,"@Suppress(""ACTUAL_FUNCTION_WITH_DEFAULT_ARGUMENTS"") public actual fun <T> Array<out T>.sortWith(comparator: Comparator<in T>, fromIndex: Int = 0, toIndex: Int = size): Unit","{
    AbstractList.checkRangeIndexes(fromIndex, toIndex, size)
    sortArrayWith(this, fromIndex, toIndex, comparator)
}","/**

 * Sorts a range in the array in-place with the given [comparator].

 * 

 * The sort is _stable_. It means that equal elements preserve their order relative to each other after sorting.

 * 

 * @param fromIndex the start of the range (inclusive) to sort, 0 by default.

 * @param toIndex the end of the range (exclusive) to sort, size of this array by default.

 * 

 * @throws IndexOutOfBoundsException if [fromIndex] is less than zero or [toIndex] is greater than the size of this array.

 * @throws IllegalArgumentException if [fromIndex] is greater than [toIndex].

 */",f17396:m5119
48016,private fun Project.setupCInteropCommonizerDependenciesForIde(sourceSet: DefaultKotlinSourceSet),"launch { addIntransitiveMetadataDependencyIfPossible(sourceSet, cinteropCommonizerDependencies(sourceSet)) }","/**

 * IDE will resolve the dependencies provided on source sets.

 * This will use the [Project.copyCommonizeCInteropForIdeTask] over the regular cinterop commonization task.

 * The copying task prevent red code within the IDE after cleaning the build output.

 */",f15513:m85
52053,fun ScriptEvaluationConfiguration.Builder.enableScriptsInstancesSharing(),"{
    this { scriptsInstancesSharing(true) }
}","/**

 * A helper to enable scriptsInstancesSharingMap with default implementation

 */",f16431:m233
58958,"public inline fun <C: Appendable> CharSequence.filterNotTo(destination: C, predicate: (Char) -> Boolean): C","{
    for (element in this) if (!predicate(element)) destination.append(element)
    return destination
}","/**

 * Appends all characters not matching the given [predicate] to the given [destination].

 * 

 * @sample samples.collections.Collections.Filtering.filterTo

 */",f17097:m981
7386,fun main(args: Array<String>),"{
    printField(""***"", 3)
    printField(""""""
    
        __*__
    
        _***_
    
        __*__
    
      """""", 10)
    printField(""""""
    
        __*__
    
        _*_*_
    
        __*__
    
      """""", 3)
    printField(""""""
    
        __**__
    
        __**__
    
        __**__
    
      """""", 3)
    printField(""""""
    
        __**__
    
        __**__
    
          __**__
    
          __**__
    
      """""", 6)
    printField(""""""
    
        ---------------
    
        ---***---***---
    
        ---------------
    
        -*----*-*----*-
    
        -*----*-*----*-
    
        -*----*-*----*-
    
        ---***---***---
    
        ---------------
    
        ---***---***---
    
        -*----*-*----*-
    
        -*----*-*----*-
    
        -*----*-*----*-
    
        ---------------
    
        ---***---***---
    
        ---------------
    
      """""", 10)
}",/** A few colony examples here */,f3089:m113
58573,"@SinceKotlin(""1.7"") public fun IntProgression.last(): Int","{
    if (isEmpty()) throw NoSuchElementException(""Progression $this is empty."")
    return this.last
}","/**

 * Returns the last element.

 * 

 * @throws NoSuchElementException if the progression is empty.

 * 

 * @sample samples.collections.Collections.Elements.last

 */",f17092:m157
58983,public fun CharSequence.toHashSet(): HashSet<Char>,"{
    return toCollection(HashSet<Char>(mapCapacity(length.coerceAtMost(128))))
}","/**

 * Returns a new [HashSet] of all characters.

 */",f17097:m1605
14880,"@Deprecated(""Use Kotlin compiler 1.4 to avoid deprecation warning."") @SinceKotlin(""1.1"") @DeprecatedSinceKotlin(hiddenSince = ""1.4"") public fun CharArray.contentToString(): String","{
    return this.contentToString()
}","/**

 * Returns a string representation of the contents of the specified array as if it is [List].

 * 

 * @sample samples.collections.Arrays.ContentOperations.contentToString

 */",f3831:m1993
63549,public actual operator fun LongArray.plus(element: Long): LongArray,"{
    val index = size
    val result = copyOfUninitializedElements(index + 1)
    result[index] = element
    return result
}","/**

 * Returns an array containing all elements of the original array and then the given [element].

 */",f17396:m4167
57333,"@Suppress(""ACTUAL_FUNCTION_WITH_DEFAULT_ARGUMENTS"") public actual fun ShortArray.fill(element: Short, fromIndex: Int = 0, toIndex: Int = size): Unit","{
    java.util.Arrays.fill(this, fromIndex, toIndex, element)
}","/**

 * Fills this array or its subrange with the specified [element] value.

 * 

 * @param fromIndex the start of the range (inclusive) to fill, 0 by default.

 * @param toIndex the end of the range (exclusive) to fill, size of this array by default.

 * 

 * @throws IndexOutOfBoundsException if [fromIndex] is less than zero or [toIndex] is greater than the size of this array.

 * @throws IllegalArgumentException if [fromIndex] is greater than [toIndex].

 */",f16970:m3231
64046,@kotlin.internal.IntrinsicConstEvaluation public inline operator fun times(other: Short): Int,this.toInt() * other.toInt(),/** Multiplies this value by the other value. */,f17455:m321
11479,internal fun printWarning(message: String),"{
    println(""WARNING $message"")
}","/**

 * Output warning.

 *

 * @param message warning message.

 */",f3554:m1367
58498,"@SinceKotlin(""1.4"") @OptIn(kotlin.experimental.ExperimentalTypeInference::class) @OverloadResolutionByLambdaReturnType @kotlin.internal.InlineOnly public inline fun <K, V> Map<out K, V>.minOf(selector: (Map.Entry<K, V>) -> Float): Float","{
    return entries.minOf(selector)
}","/**

 * Returns the smallest value among all values produced by [selector] function

 * applied to each entry in the map.

 * 

 * If any of values produced by [selector] function is `NaN`, the returned result is `NaN`.

 * 

 * @throws NoSuchElementException if the map is empty.

 */",f17089:m841
7577,"fun execClangForCompilerTests(target: KonanTarget, action: Action<in ExecSpec>): ExecResult","{
    val defaultArgs = platformManager.platform(target).clang.clangArgs.toList()
    return execOperations.exec {
        action.execute(this)
        executable = if (target.family.isAppleFamily) {
            resolveToolchainExecutable(target, executable)
        } else {
            resolveExecutable(executable)
        }
        args = defaultArgs + args
    }
}","/**

     * Execute Clang the way that produced object file is compatible with

     * the one that produced by Kotlin/Native for given [target]. It means:

     * 1. We pass flags that set sysroot.

     * 2. We call Clang from toolchain in case of Apple target.

     */",f3121:m233
30899,"inline fun <T, R> Collection<T>.memoryOptimizedMap(transform: (T) -> R): List<R>","{
    return mapTo(ArrayList<R>(size), transform).compactIfPossible()
}","/**

 * A memory-optimized version of [Iterable.map].

 * @see Iterable.map

 */",f10791:m21
7894,private fun buildClangFlags(configurables: Configurables): List<String>,"mutableListOf<String>().apply {
    require(configurables is ClangFlags)
    addAll(configurables.clangFlags)
    addAll(configurables.clangNooptFlags)
    val targetTriple = if (configurables is AppleConfigurables) {
        configurables.targetTriple.withOSVersion(configurables.osVersionMin)
    } else {
        configurables.targetTriple
    }
    addAll(listOf(""-triple"", targetTriple.toString()))
}.toList()","/**

 * Returns a list of Clang -cc1 arguments (including -cc1 itself) that are used for bitcode compilation in Kotlin/Native.

 *

 * See also: [org.jetbrains.kotlin.backend.konan.BitcodeCompiler]

 */",f3153:m521
57364,public actual operator fun DoubleArray.plus(elements: DoubleArray): DoubleArray,"{
    val thisSize = size
    val arraySize = elements.size
    val result = java.util.Arrays.copyOf(this, thisSize + arraySize)
    System.arraycopy(elements, 0, result, thisSize, arraySize)
    return result
}","/**

 * Returns an array containing all elements of the original array and then all elements of the given [elements] array.

 */",f16970:m3919
31540,"fun MemberScope.getDescriptorsFiltered(kindFilter: DescriptorKindFilter = DescriptorKindFilter.ALL, nameFilter: (Name) -> Boolean = ALL_NAME_FILTER): Collection<DeclarationDescriptor>","{
    if (kindFilter.kindMask == 0) return listOf()
    return getContributedDescriptors(kindFilter, nameFilter).filter { kindFilter.accepts(it) && nameFilter(it.name) }
}","/**

 * The same as getDescriptors(kindFilter, nameFilter) but the result is guaranteed to be filtered by kind and name.

 */",f10898:m157
58963,@kotlin.internal.InlineOnly public inline fun String.slice(indices: Iterable<Int>): String,"{
    return (this as CharSequence).slice(indices).toString()
}","/**

 * Returns a string containing characters of the original string at specified [indices].

 */",f17097:m1085
57319,"@JvmName(""copyOfRangeInline"") @kotlin.internal.InlineOnly public actual inline fun DoubleArray.copyOfRange(fromIndex: Int, toIndex: Int): DoubleArray","{
    return if (kotlin.internal.apiVersionIsAtLeast(1, 3, 0)) {
        copyOfRangeImpl(fromIndex, toIndex)
    } else {
        if (toIndex > size) throw IndexOutOfBoundsException(""toIndex: $toIndex, size: $size"")
        java.util.Arrays.copyOfRange(this, fromIndex, toIndex)
    }
}","/**

 * Returns a new array which is a copy of the specified range of the original array.

 * 

 * @param fromIndex the start of the range (inclusive) to copy.

 * @param toIndex the end of the range (exclusive) to copy.

 * 

 * @throws IndexOutOfBoundsException if [fromIndex] is less than zero or [toIndex] is greater than the size of this array.

 * @throws IllegalArgumentException if [fromIndex] is greater than [toIndex].

 */",f16970:m2911
58859,public fun <T> Sequence<T>.none(): Boolean,"{
    return !iterator().hasNext()
}","/**

 * Returns `true` if the sequence has no elements.

 *

 * The operation is _terminal_.

 * 

 * @sample samples.collections.Collections.Aggregates.none

 */",f17096:m4287
15022,"@SinceKotlin(""1.1"") public actual fun <T: Comparable<T>> maxOf(a: T, b: T, c: T): T","{
    return maxOf(a, maxOf(b, c))
}","/**

 * Returns the greater of three values.

 * 

 * If there are multiple equal maximal values, returns the first of them.

 */",f3836:m163
14874,"@Deprecated(""Use Kotlin compiler 1.4 to avoid deprecation warning."") @SinceKotlin(""1.1"") @DeprecatedSinceKotlin(hiddenSince = ""1.4"") public fun ShortArray.contentToString(): String","{
    return this.contentToString()
}","/**

 * Returns a string representation of the contents of the specified array as if it is [List].

 * 

 * @sample samples.collections.Arrays.ContentOperations.contentToString

 */",f3831:m1849
15029,"@SinceKotlin(""1.4"") public actual fun <T: Comparable<T>> maxOf(a: T, vararg other: T): T","{
    var max = a
    for (e in other) max = maxOf(max, e)
    return max
}","/**

 * Returns the greater of the given values.

 * 

 * If there are multiple equal maximal values, returns the first of them.

 */",f3836:m299
11455,"fun <T: Any, OptionType: MultipleOptionType> MultipleOption<T, OptionType, DefaultRequiredType.None>.required(): MultipleOption<T, OptionType, DefaultRequiredType.Required>","{
    val newOption = with((delegate.cast<ParsingValue<T, List<T>>>()).descriptor as OptionDescriptor) { MultipleOption<T, OptionType, DefaultRequiredType.Required>(OptionDescriptor(optionFullFormPrefix, optionShortFromPrefix, type, fullName, shortName, description, defaultValue?.toList() ?: listOf(), true, multiple, delimiter, deprecatedWarning), owner) }
    owner.entity = newOption
    return newOption
}","/**

 * Requires the option to be always provided in command line.

 */",f3549:m401
